Irish Horses National Hunt (Jumps) (2025/2026 and 2024/2025)

Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Salvator Mundi (FR) (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 28800 | Place Money: 25000 | Total Prize Money: 53800)
Skylight Hustle (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 67200 | Place Money: 3000 | Total Prize Money: 70200)
Winning Smut (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 4000 | Total Prize Money: 76000)
Jade De Grugy (FR) (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 97500 | Place Money: 0 | Total Prize Money: 97500)
Kala Conti (FR) (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 34800 | Place Money: 0 | Total Prize Money: 34800)
Teahupoo (FR) (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 162000 | Place Money: 0 | Total Prize Money: 162000)
Fortunedefortunata (Runs: 8 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 6470 | Total Prize Money: 66470)
Lord Erskine (Runs: 8 | 1st: 1 | 2nd: 1 | 3rd: 2 | 4th: 1 | Win Money: 60000 | Place Money: 30600 | Total Prize Money: 90600)
Winter Fog (Runs: 8 | 1st: 1 | 2nd: 1 | 3rd: 3 | 4th: 3 | Win Money: 42000 | Place Money: 98025 | Total Prize Money: 140025)
Come On The Lads (Runs: 7 | 1st: 1 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 48000 | Place Money: 17880 | Total Prize Money: 65880)
Duffle Coat (Runs: 7 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 59600 | Total Prize Money: 119600)
Daddy Long Legs (FR) (Runs: 6 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 22500 | Place Money: 51600 | Total Prize Money: 74100)
Dreal Deal (Runs: 6 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 27000 | Place Money: 10375 | Total Prize Money: 37375)
Last Kingdom (FR) (Runs: 6 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 36000 | Place Money: 15300 | Total Prize Money: 51300)
Saint Le Fort (FR) (Runs: 6 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 60000 | Place Money: 11175 | Total Prize Money: 71175)
Ballybawn Belter (Runs: 5 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 30000 | Place Money: 9800 | Total Prize Money: 39800)
Battleoverdoyen (Runs: 5 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 48000 | Place Money: 2065 | Total Prize Money: 50065)
Firefox (Runs: 5 | 1st: 1 | 2nd: 2 | 3rd: 2 | 4th: 0 | Win Money: 6600 | Place Money: 51000 | Total Prize Money: 57600)
Hewick (Runs: 5 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 7200 | Place Money: 41100 | Total Prize Money: 48300)
I Started A Joke (Runs: 5 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 2 | Win Money: 7200 | Place Money: 32425 | Total Prize Money: 39625)
Spy (GB) (Runs: 5 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 2 | Win Money: 27000 | Place Money: 12625 | Total Prize Money: 39625)
Backmersackme (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 90000 | Place Money: 0 | Total Prize Money: 90000)
Backtonormal (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 90000 | Place Money: 815 | Total Prize Money: 90815)
Bushmans Pass (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 8000 | Total Prize Money: 68000)
Fact To File (FR) (Runs: 4 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 90000 | Place Money: 75000 | Total Prize Money: 165000)
Gringo D'aubrelle (FR) (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 60000 | Place Money: 2100 | Total Prize Money: 62100)
Idas Boy (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 60000 | Place Money: 1800 | Total Prize Money: 61800)
Jetara (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 16500 | Place Money: 35500 | Total Prize Money: 52000)
Marine Nationale (Runs: 4 | 1st: 1 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 180000 | Place Money: 48300 | Total Prize Money: 228300)
Now Is The Hour (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 60000 | Place Money: 11550 | Total Prize Money: 71550)
Nurburgring (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 162000 | Place Money: 5200 | Total Prize Money: 167200)
Pinkerton (Runs: 4 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 162000 | Place Money: 30000 | Total Prize Money: 192000)
Real Steel (FR) (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 440 | Total Prize Money: 60440)
The King Of Prs (Runs: 4 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 60000 | Place Money: 15000 | Total Prize Money: 75000)
Turnpike Trip (GB) (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 48000 | Place Money: 465 | Total Prize Money: 48465)
Wingmen (Runs: 4 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 9000 | Place Money: 40800 | Total Prize Money: 49800)
Answer To Kayf (GB) (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 2 | Win Money: 60000 | Place Money: 5000 | Total Prize Money: 65000)
Cadatharla (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 30000 | Place Money: 5000 | Total Prize Money: 35000)
Dee Capo (FR) (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 27000 | Place Money: 7500 | Total Prize Money: 34500)
Favori De Champdou (FR) (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 112000 | Place Money: 1350 | Total Prize Money: 113350)
French Dynamite (FR) (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 60000 | Place Money: 23200 | Total Prize Money: 83200)
James Du Berlais (FR) (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 1350 | Total Prize Money: 61350)
Kargese (FR) (Runs: 3 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 10500 | Place Money: 38500 | Total Prize Money: 49000)
Mica Malpic (FR) (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 15000 | Place Money: 20000 | Total Prize Money: 35000)
Midnight Our Fred (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 9600 | Place Money: 45000 | Total Prize Money: 54600)
My Immortal (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 0 | Total Prize Money: 60000)
Quai De Bourbon (FR) (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 7500 | Place Money: 51750 | Total Prize Money: 59250)
Touch Me Not (Runs: 3 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 21900 | Place Money: 32500 | Total Prize Money: 54400)
Western Diego (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 60000 | Place Money: 9500 | Total Prize Money: 69500)
Amirite (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 60000 | Place Money: 13500 | Total Prize Money: 73500)
Flooring Porter (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 120000 | Place Money: 1350 | Total Prize Money: 121350)
Gaelic Warrior (GER) (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 90000 | Place Money: 50000 | Total Prize Money: 140000)
Ndaawi (GB) (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 162000 | Place Money: 15000 | Total Prize Money: 177000)
Volantis (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 48000 | Place Money: 0 | Total Prize Money: 48000)
Broadway Ted (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 0 | Total Prize Money: 60000)
Buy Some Time (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 0 | Total Prize Money: 60000)
Energumene (FR) (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 0 | Total Prize Money: 60000)
Envoi Allen (FR) (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 96000 | Place Money: 0 | Total Prize Money: 96000)
Haiti Couleurs (FR) (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 275000 | Place Money: 0 | Total Prize Money: 275000)
