Irish Jockeys Stats National Hunt (Jumps) (2024 and 2025 and 2026)

2025/2026
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

O. McGill (Runs: 33 | 1st: 6 | 2nd: 2 | 3rd: 2 | 4th: 2 | Win Money: 41400 | Place Money: 12800 | Total Prize Money: 54200)
C.P. McNamara (Runs: 92 | 1st: 5 | 2nd: 7 | 3rd: 5 | 4th: 4 | Win Money: 34200 | Place Money: 29105 | Total Prize Money: 63305)
H. Morgan (Runs: 80 | 1st: 5 | 2nd: 5 | 3rd: 3 | 4th: 6 | Win Money: 33900 | Place Money: 20865 | Total Prize Money: 54765)
O.R. Brown (Runs: 69 | 1st: 5 | 2nd: 5 | 3rd: 7 | 4th: 3 | Win Money: 66900 | Place Money: 31185 | Total Prize Money: 98085)
S. Cleary-Farrell (Runs: 59 | 1st: 5 | 2nd: 6 | 3rd: 5 | 4th: 5 | Win Money: 38700 | Place Money: 66190 | Total Prize Money: 104890)
D. McGill (Runs: 41 | 1st: 5 | 2nd: 4 | 3rd: 3 | 4th: 4 | Win Money: 33900 | Place Money: 14910 | Total Prize Money: 48810)
J.P. O'Sullivan (Runs: 100 | 1st: 4 | 2nd: 9 | 3rd: 8 | 4th: 6 | Win Money: 32100 | Place Money: 42200 | Total Prize Money: 74300)
C. Cullinan (Runs: 72 | 1st: 4 | 2nd: 4 | 3rd: 7 | 4th: 6 | Win Money: 27900 | Place Money: 48880 | Total Prize Money: 76780)
C.D Smithers (Runs: 65 | 1st: 4 | 2nd: 4 | 3rd: 5 | 4th: 4 | Win Money: 26100 | Place Money: 23075 | Total Prize Money: 49175)
J.C. Barry (Runs: 58 | 1st: 4 | 2nd: 7 | 3rd: 5 | 4th: 6 | Win Money: 25500 | Place Money: 51040 | Total Prize Money: 76540)
A. Balfe (Runs: 49 | 1st: 4 | 2nd: 4 | 3rd: 3 | 4th: 1 | Win Money: 28500 | Place Money: 24685 | Total Prize Money: 53185)
A. Burke-Ott (Runs: 25 | 1st: 4 | 2nd: 3 | 3rd: 4 | 4th: 1 | Win Money: 25200 | Place Money: 11865 | Total Prize Money: 37065)
A.D. Bustin (Runs: 20 | 1st: 4 | 2nd: 2 | 3rd: 1 | 4th: 2 | Win Money: 26100 | Place Money: 6800 | Total Prize Money: 32900)
P.A. King (Runs: 18 | 1st: 4 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 25200 | Place Money: 6200 | Total Prize Money: 31400)
E.M. O'Sullivan (Runs: 55 | 1st: 3 | 2nd: 4 | 3rd: 4 | 4th: 3 | Win Money: 19200 | Place Money: 22775 | Total Prize Money: 41975)
B.P. Kennedy (Runs: 54 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 2 | Win Money: 19500 | Place Money: 4610 | Total Prize Money: 24110)
P. Cleary (Runs: 43 | 1st: 3 | 2nd: 2 | 3rd: 2 | 4th: 6 | Win Money: 20100 | Place Money: 15070 | Total Prize Money: 35170)
A.M. King (Runs: 39 | 1st: 3 | 2nd: 0 | 3rd: 2 | 4th: 3 | Win Money: 19200 | Place Money: 5460 | Total Prize Money: 24660)
R. James (Runs: 38 | 1st: 3 | 2nd: 2 | 3rd: 9 | 4th: 4 | Win Money: 24000 | Place Money: 54870 | Total Prize Money: 78870)
T.E. O'Connor (Runs: 38 | 1st: 3 | 2nd: 4 | 3rd: 3 | 4th: 4 | Win Money: 22500 | Place Money: 16425 | Total Prize Money: 38925)
C.J. Shine (Runs: 37 | 1st: 3 | 2nd: 6 | 3rd: 2 | 4th: 3 | Win Money: 18600 | Place Money: 18575 | Total Prize Money: 37175)
F.R. Buckley (Runs: 34 | 1st: 3 | 2nd: 4 | 3rd: 6 | 4th: 2 | Win Money: 22200 | Place Money: 21280 | Total Prize Money: 43480)
P. Elvin (Runs: 31 | 1st: 3 | 2nd: 3 | 3rd: 3 | 4th: 1 | Win Money: 21300 | Place Money: 13765 | Total Prize Money: 35065)
G. Benson (Runs: 29 | 1st: 3 | 2nd: 5 | 3rd: 2 | 4th: 2 | Win Money: 27300 | Place Money: 20555 | Total Prize Money: 47855)
B. O'Neill (Runs: 28 | 1st: 3 | 2nd: 4 | 3rd: 4 | 4th: 5 | Win Money: 22800 | Place Money: 28575 | Total Prize Money: 51375)
L. Burke-Ott (Runs: 23 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 4 | Win Money: 20400 | Place Money: 3990 | Total Prize Money: 24390)
K. Healy (Runs: 21 | 1st: 3 | 2nd: 2 | 3rd: 1 | 4th: 4 | Win Money: 25200 | Place Money: 10825 | Total Prize Money: 36025)
M. O'Sullivan (Runs: 17 | 1st: 3 | 2nd: 2 | 3rd: 3 | 4th: 1 | Win Money: 24600 | Place Money: 9530 | Total Prize Money: 34130)
D. Allen (Runs: 16 | 1st: 3 | 2nd: 1 | 3rd: 2 | 4th: 1 | Win Money: 18300 | Place Money: 5735 | Total Prize Money: 24035)
T.A. Halford (Runs: 16 | 1st: 3 | 2nd: 3 | 3rd: 1 | 4th: 2 | Win Money: 22200 | Place Money: 12900 | Total Prize Money: 35100)
J.J. Doyle (Runs: 15 | 1st: 3 | 2nd: 1 | 3rd: 4 | 4th: 2 | Win Money: 24000 | Place Money: 12550 | Total Prize Money: 36550)
M.J. O'Neill (Runs: 10 | 1st: 3 | 2nd: 1 | 3rd: 2 | 4th: 1 | Win Money: 18900 | Place Money: 6430 | Total Prize Money: 25330)
J. Kearney (Runs: 86 | 1st: 2 | 2nd: 10 | 3rd: 5 | 4th: 7 | Win Money: 12900 | Place Money: 47285 | Total Prize Money: 60185)
D. Robinson (Runs: 70 | 1st: 2 | 2nd: 2 | 3rd: 2 | 4th: 6 | Win Money: 13800 | Place Money: 14095 | Total Prize Money: 27895)
R.P. Treacy (Runs: 66 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 12000 | Place Money: 5215 | Total Prize Money: 17215)
C. Monaghan (Runs: 49 | 1st: 2 | 2nd: 1 | 3rd: 3 | 4th: 5 | Win Money: 15000 | Place Money: 14190 | Total Prize Money: 29190)
S. Connor (Runs: 40 | 1st: 2 | 2nd: 9 | 3rd: 5 | 4th: 1 | Win Money: 33300 | Place Money: 54270 | Total Prize Money: 87570)
L.P. Shanahan (Runs: 38 | 1st: 2 | 2nd: 3 | 3rd: 0 | 4th: 3 | Win Money: 14400 | Place Money: 10505 | Total Prize Money: 24905)
R.J. Condon (Runs: 37 | 1st: 2 | 2nd: 1 | 3rd: 2 | 4th: 3 | Win Money: 13500 | Place Money: 9565 | Total Prize Money: 23065)
D.P. Maxwell (Runs: 28 | 1st: 2 | 2nd: 3 | 3rd: 0 | 4th: 1 | Win Money: 35700 | Place Money: 9070 | Total Prize Money: 44770)
N. McParlan (Runs: 28 | 1st: 2 | 2nd: 2 | 3rd: 3 | 4th: 0 | Win Money: 12000 | Place Money: 10445 | Total Prize Money: 22445)
F. Brickley (Runs: 27 | 1st: 2 | 2nd: 4 | 3rd: 1 | 4th: 2 | Win Money: 17400 | Place Money: 18500 | Total Prize Money: 35900)
S.R Markey (Runs: 25 | 1st: 2 | 2nd: 1 | 3rd: 3 | 4th: 2 | Win Money: 21000 | Place Money: 11575 | Total Prize Money: 32575)
B.T. Stone (Runs: 19 | 1st: 2 | 2nd: 1 | 3rd: 2 | 4th: 1 | Win Money: 13200 | Place Money: 5375 | Total Prize Money: 18575)
L.A. Byrne (Runs: 13 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 3 | Win Money: 12900 | Place Money: 4775 | Total Prize Money: 17675)
E.C. Costello (Runs: 12 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 13200 | Place Money: 5400 | Total Prize Money: 18600)
J. Bowen (Runs: 10 | 1st: 2 | 2nd: 2 | 3rd: 2 | 4th: 0 | Win Money: 105000 | Place Money: 79500 | Total Prize Money: 184500)
M.N. Sharpe (Runs: 9 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 16500 | Place Money: 2040 | Total Prize Money: 18540)
N.T. Prendergast (Runs: 8 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 12600 | Place Money: 5350 | Total Prize Money: 17950)
