Irish Jockeys Stats Flat (2024 and 2025)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Oisin Murphy (Runs: 16 | 1st: 2 | 2nd: 1 | 3rd: 2 | 4th: 3 | Win Money: 84000 | Place Money: 169035 | Total Prize Money: 253035)
C. Lee (Runs: 10 | 1st: 2 | 2nd: 1 | 3rd: 3 | 4th: 1 | Win Money: 198000 | Place Money: 256500 | Total Prize Money: 454500)
T. Marquand (Runs: 9 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 965000 | Place Money: 57500 | Total Prize Money: 1022500)
D. Tudhope (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 320000 | Place Money: 0 | Total Prize Money: 320000)
S.P. Bird (Runs: 48 | 1st: 1 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 6300 | Place Money: 8655 | Total Prize Money: 14955)
S.A. Wallace (Runs: 28 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 7800 | Place Money: 5650 | Total Prize Money: 13450)
A.C. Persse (Runs: 27 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 12600 | Place Money: 7140 | Total Prize Money: 19740)
D.J. Power (Runs: 22 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 5 | Win Money: 9600 | Place Money: 4960 | Total Prize Money: 14560)
S.P. Davis (Runs: 20 | 1st: 1 | 2nd: 1 | 3rd: 3 | 4th: 2 | Win Money: 6000 | Place Money: 6450 | Total Prize Money: 12450)
O. Tynan (Runs: 18 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 2 | Win Money: 6900 | Place Money: 2375 | Total Prize Money: 9275)
A. Egan (Runs: 9 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 9000 | Place Money: 5000 | Total Prize Money: 14000)
J. Maye (Runs: 9 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 2 | Win Money: 6300 | Place Money: 6150 | Total Prize Money: 12450)
A.J. Casey (Runs: 8 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 6300 | Place Money: 2100 | Total Prize Money: 8400)
J.A. Orr (Runs: 8 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 6000 | Place Money: 5800 | Total Prize Money: 11800)
M.T. Sheridan (Runs: 8 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 6000 | Place Money: 850 | Total Prize Money: 6850)
