STARLUST (GB) (Rank: 79 | Flat Rating: 113 | Year: 2021 | Sex: COLT | Sire: ZOUSTAR (AUS) | Dam: BEYOND DESIRE (GB) | Trainer: )
AIN'T NOBODY (IRE) (Rank: 80 | Flat Rating: 112 | Year: 2022 | Sex: COLT | Sire: SANDS OF MALI (FR) | Dam: BURMESE WALTZ (GB) | Trainer: Kevin Ryan)
BELIEVING (IRE) (Rank: 81 | Flat Rating: 112 | Year: 2020 | Sex: FILLY | Sire: MEHMAS (IRE) | Dam: MISFORTUNATE (IRE) | Trainer: )
CABALLO DE MAR (IRE) (Rank: 82 | Flat Rating: 112 | Year: 2021 | Sex: GELDING | Sire: PHOENIX OF SPAIN (IRE) | Dam: OBERYN (IRE) | Trainer: George Scott)
DETAIN (IRE) (Rank: 83 | Flat Rating: 112 | Year: 2022 | Sex: COLT | Sire: WOOTTON BASSETT (GB) | Dam: NISRIYNA (IRE) | Trainer: )
DEVIL'S ADVOCATE (GB) (Rank: 84 | Flat Rating: 112 | Year: 2022 | Sex: GELDING | Sire: TOO DARN HOT (GB) | Dam: PRECIOUS RAMOTSWE (GB) | Trainer: John & Thady Gosden)
ECUREUIL SECRET (FR) (Rank: 85 | Flat Rating: 112 | Year: 2021 | Sex: GELDING | Sire: WOOTTON BASSETT (GB) | Dam: VITIZZA (FR) | Trainer: Richard Fahey)
HAATEM (IRE) (Rank: 86 | Flat Rating: 112 | Year: 2021 | Sex: COLT | Sire: PHOENIX OF SPAIN (IRE) | Dam: HARD WALNUT (IRE) | Trainer: Richard Hannon)
HUMIDITY (GB) (Rank: 87 | Flat Rating: 112 | Year: 2023 | Sex: COLT | Sire: ULYSSES (IRE) | Dam: SULTRY (GB) | Trainer: Andrew Balding)
JM JUNGLE (IRE) (Rank: 88 | Flat Rating: 112 | Year: 2020 | Sex: GELDING | Sire: BUNGLE INTHEJUNGLE (GB) | Dam: THE SHREW (GB) | Trainer: John & Sean Quinn)
LUTHER (GB) (Rank: 89 | Flat Rating: 112 | Year: 2022 | Sex: COLT | Sire: FRANKEL (GB) | Dam: GIVE AND TAKE (GB) | Trainer: Charlie Fellowes)
NO HALF MEASURES (GB) (Rank: 90 | Flat Rating: 112 | Year: 2021 | Sex: FILLY | Sire: CABLE BAY (IRE) | Dam: FASCINATOR (GB) | Trainer: )
OXAGON (FR) (Rank: 91 | Flat Rating: 112 | Year: 2023 | Sex: COLT | Sire: FRANKEL (GB) | Dam: ENDLESS CHARM (GB) | Trainer: John & Thady Gosden)
PERSICA (IRE) (Rank: 92 | Flat Rating: 112 | Year: 2021 | Sex: COLT | Sire: NEW BAY (GB) | Dam: RUBIRA (AUS) | Trainer: Richard Hannon)
RASHABAR (IRE) (Rank: 93 | Flat Rating: 112 | Year: 2022 | Sex: COLT | Sire: HOLY ROMAN EMPEROR (IRE) | Dam: AMAZONKA (IRE) | Trainer: Brian Meehan)
