Irish Trainers Stats Flat (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

A.P.O'Brien (Runs: 495 | 1st: 131 | 2nd: 86 | 3rd: 68 | 4th: 53 | Win Money: 4336100 | Place Money: 2221870 | Total Prize Money: 6557970)
Eoghan Joseph O'Neill (Runs: 51 | 1st: 5 | 2nd: 8 | 3rd: 4 | 4th: 4 | Win Money: 54000 | Place Money: 39160 | Total Prize Money: 93160)
Timothy Doyle (Runs: 97 | 1st: 5 | 2nd: 5 | 3rd: 8 | 4th: 6 | Win Money: 47400 | Place Money: 34183 | Total Prize Money: 81583)
Eddie & Patrick Harty (Runs: 66 | 1st: 5 | 2nd: 5 | 3rd: 6 | 4th: 8 | Win Money: 45300 | Place Money: 36135 | Total Prize Money: 81435)
Matthew J. Smith (Runs: 47 | 1st: 5 | 2nd: 4 | 3rd: 3 | 4th: 5 | Win Money: 34500 | Place Money: 19735 | Total Prize Money: 54235)
John Joseph Murphy (Runs: 30 | 1st: 4 | 2nd: 3 | 3rd: 5 | 4th: 3 | Win Money: 412800 | Place Money: 18325 | Total Prize Money: 431125)
W.P. Mullins (Runs: 47 | 1st: 4 | 2nd: 6 | 3rd: 5 | 4th: 3 | Win Money: 91200 | Place Money: 198420 | Total Prize Money: 289620)
Charles O'Brien (Runs: 32 | 1st: 4 | 2nd: 3 | 3rd: 1 | 4th: 2 | Win Money: 89100 | Place Money: 33040 | Total Prize Money: 122140)
Andrew Kinirons (Runs: 37 | 1st: 4 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 51000 | Place Money: 12905 | Total Prize Money: 63905)
Exors of The Late Kevin Prendergast (Runs: 44 | 1st: 4 | 2nd: 3 | 3rd: 5 | 4th: 2 | Win Money: 29100 | Place Money: 32600 | Total Prize Money: 61700)
Exors of the Late E.J. O'Grady (Runs: 34 | 1st: 4 | 2nd: 1 | 3rd: 5 | 4th: 5 | Win Money: 28200 | Place Money: 29160 | Total Prize Money: 57360)
G.A. Kingston (Runs: 37 | 1st: 4 | 2nd: 4 | 3rd: 4 | 4th: 1 | Win Money: 30900 | Place Money: 19245 | Total Prize Money: 50145)
Anthony Mullins (Runs: 30 | 1st: 4 | 2nd: 0 | 3rd: 3 | 4th: 4 | Win Money: 37800 | Place Money: 10090 | Total Prize Money: 47890)
Thomas Coyle (Runs: 28 | 1st: 4 | 2nd: 1 | 3rd: 5 | 4th: 1 | Win Money: 33900 | Place Money: 9530 | Total Prize Money: 43430)
William Haggas (in GB) (Runs: 11 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 776000 | Place Money: 25350 | Total Prize Money: 801350)
Ralph Beckett (in GB) (Runs: 5 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 720000 | Place Money: 5000 | Total Prize Money: 725000)
K.R.Burke (in GB) (Runs: 15 | 1st: 3 | 2nd: 3 | 3rd: 0 | 4th: 1 | Win Money: 392000 | Place Money: 149150 | Total Prize Money: 541150)
William Durkan (Runs: 21 | 1st: 3 | 2nd: 1 | 3rd: 5 | 4th: 3 | Win Money: 81900 | Place Money: 48200 | Total Prize Money: 130100)
Thomas Gibney (Runs: 46 | 1st: 3 | 2nd: 2 | 3rd: 1 | 4th: 3 | Win Money: 81300 | Place Money: 28180 | Total Prize Money: 109480)
Micky Fenton (Runs: 53 | 1st: 3 | 2nd: 5 | 3rd: 3 | 4th: 4 | Win Money: 78600 | Place Money: 21565 | Total Prize Money: 100165)
Gerard Keane (Runs: 50 | 1st: 3 | 2nd: 2 | 3rd: 7 | 4th: 5 | Win Money: 79500 | Place Money: 20310 | Total Prize Money: 99810)
Patrick Magee (Runs: 82 | 1st: 3 | 2nd: 6 | 3rd: 4 | 4th: 10 | Win Money: 45600 | Place Money: 32645 | Total Prize Money: 78245)
K.J. Condon (Runs: 54 | 1st: 3 | 2nd: 2 | 3rd: 7 | 4th: 5 | Win Money: 43800 | Place Money: 31535 | Total Prize Money: 75335)
John J.Nallen (Runs: 26 | 1st: 3 | 2nd: 7 | 3rd: 2 | 4th: 6 | Win Money: 27000 | Place Money: 38925 | Total Prize Money: 65925)
Luke Comer (Runs: 191 | 1st: 3 | 2nd: 4 | 3rd: 7 | 4th: 16 | Win Money: 21900 | Place Money: 39020 | Total Prize Money: 60920)
Chris Timmons (Runs: 79 | 1st: 3 | 2nd: 2 | 3rd: 8 | 4th: 12 | Win Money: 20700 | Place Money: 34440 | Total Prize Money: 55140)
