Irish Horses Flat (2025 and 2024)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Atsila (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 49500 | Place Money: 45000 | Total Prize Money: 94500)
Chemistry (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 36000 | Place Money: 30000 | Total Prize Money: 66000)
Givemethebeatboys (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 58500 | Place Money: 11000 | Total Prize Money: 69500)
Jagged Edge (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 67200 | Place Money: 0 | Total Prize Money: 67200)
Red Letter (GB) (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 66000 | Place Money: 31000 | Total Prize Money: 97000)
Sujet (GB) (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 69600 | Place Money: 1300 | Total Prize Money: 70900)
Suzie Songs (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 46800 | Place Money: 24000 | Total Prize Money: 70800)
Tarawa (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 57000 | Place Money: 14000 | Total Prize Money: 71000)
Vera's Secret (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 75000 | Place Money: 6000 | Total Prize Money: 81000)
Apples And Bananas (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 510800 | Place Money: 400 | Total Prize Money: 511200)
Benvenuto Cellini (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 100800 | Place Money: 4000 | Total Prize Money: 104800)
Bucanero Fuerte (GB) (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 72000 | Place Money: 40000 | Total Prize Money: 112000)
Chally Chute (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 63000 | Place Money: 120000 | Total Prize Money: 183000)
Chantez (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 70800 | Place Money: 3600 | Total Prize Money: 74400)
Eagle's Way (GB) (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 75000 | Place Money: 15000 | Total Prize Money: 90000)
Fighter (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 102000 | Place Money: 1250 | Total Prize Money: 103250)
Green Impact (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 100800 | Place Money: 4000 | Total Prize Money: 104800)
Hawk Mountain (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 84000 | Place Money: 600 | Total Prize Money: 84600)
Los Angeles (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 773000 | Place Money: 62500 | Total Prize Money: 835500)
Precise (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 250800 | Place Money: 3600 | Total Prize Money: 254400)
Scorthy Champ (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 250800 | Place Money: 12000 | Total Prize Money: 262800)
Sharinay (GB) (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 67500 | Place Money: 4400 | Total Prize Money: 71900)
Skukuza (GB) (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 120000 | Place Money: 10000 | Total Prize Money: 130000)
Al Riffa (FR) (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 362000 | Place Money: 0 | Total Prize Money: 362000)
Constitution River (FR) (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 84000 | Place Money: 0 | Total Prize Money: 84000)
Diamond Necklace (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 79200 | Place Money: 0 | Total Prize Money: 79200)
Diego Velazquez (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 150000 | Place Money: 0 | Total Prize Money: 150000)
Jan Brueghel (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 0 | Total Prize Money: 72000)
Lake Victoria (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 252000 | Place Money: 0 | Total Prize Money: 252000)
Sky Majesty (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 90000 | Place Money: 0 | Total Prize Money: 90000)
Truly Enchanting (Runs: 2 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 79200 | Place Money: 0 | Total Prize Money: 79200)
Lady Lunette (Runs: 10 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 60000 | Place Money: 7375 | Total Prize Money: 67375)
Physique (Runs: 10 | 1st: 1 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 66000 | Place Money: 9100 | Total Prize Money: 75100)
Go Athletico (FR) (Runs: 8 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 1050 | Total Prize Money: 61050)
Mexicali Rose (GB) (Runs: 8 | 1st: 1 | 2nd: 0 | 3rd: 3 | 4th: 0 | Win Money: 72000 | Place Money: 15300 | Total Prize Money: 87300)
Fort Vega (FR) (Runs: 7 | 1st: 1 | 2nd: 3 | 3rd: 1 | 4th: 0 | Win Money: 60000 | Place Money: 37000 | Total Prize Money: 97000)
Gloriously Glam (Runs: 7 | 1st: 1 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 6900 | Place Money: 55050 | Total Prize Money: 61950)
