San Salvador — Rating (103) | Trainer (Joseph Patrick O'Brien)
Vespertilio (FR) — Rating (103) | Trainer (W. McCreery)
Zodiac Bear — Rating (103) | Trainer (J.P. Murtagh)
Azada — Rating (102) | Trainer (D. K. Weld)
Dawn Rising — Rating (102) | Trainer (Joseph Patrick O'Brien)
Elana Osario (GB) — Rating (102) | Trainer (P. Twomey)
Green Sense — Rating (102) | Trainer (Joseph Patrick O'Brien)
Harbour Wind — Rating (102) | Trainer (D. K. Weld)
Jancis — Rating (102) | Trainer (W. McCreery)
Magny Cours — Rating (102) | Trainer (Daniel McLoughlin)
Minerva — Rating (102) | Trainer (A.P.O'Brien)
Naomi Lapaglia (GB) — Rating (102) | Trainer (G.M.Lyons)
Pivotal Attack (GB) — Rating (102) | Trainer (Joseph G. Murphy)
Queen Of Hawaii — Rating (102) | Trainer (Joseph Patrick O'Brien)
Queen Of Mougins — Rating (102) | Trainer (Robson De Aguiar)
Shaihaan — Rating (102) | Trainer (Donnacha Aidan O'Brien)
Sonnyboyliston — Rating (102) | Trainer (C.Byrnes)
Starford — Rating (102) | Trainer (Joseph Patrick O'Brien)
Thalara — Rating (102) | Trainer (Henry de Bromhead)
Thesecretadversary — Rating (102) | Trainer (J.A.Stack)
A Dream To Share — Rating (101) | Trainer (John E. & Thomas Kiely)
Arouet (FR) — Rating (101) | Trainer (P. Twomey)
Ascending — Rating (101) | Trainer (Henry de Bromhead)
Barbizon — Rating (101) | Trainer (Gordon Elliott)
Bravais (GB) — Rating (101) | Trainer (G.M.Lyons)
Catalina Delcarpio — Rating (101) | Trainer (P. Twomey)
Chicago Call — Rating (101) | Trainer (J.P. Murtagh)
Easy — Rating (101) | Trainer (Andrew Slattery)
Floresta — Rating (101) | Trainer (J.P. Murtagh)
Gaucher (GB) — Rating (101) | Trainer (W.P. Mullins)
Ides Of March — Rating (101) | Trainer (Richard Brabazon)
Kansas — Rating (101) | Trainer (A.P.O'Brien)
Moments Of Joy (USA) — Rating (101) | Trainer (A.P.O'Brien)
Nil Bua Gan Dua (USA) — Rating (101) | Trainer (Joseph Patrick O'Brien)
One Smack Mac — Rating (101) | Trainer (G.M.Lyons)
Power Under Me — Rating (101) | Trainer (G.M.Lyons)
Queen Of Thunder — Rating (101) | Trainer (K.J. Condon)
Reyenzi (FR) — Rating (101) | Trainer (J.P. Murtagh)
Suzie Songs — Rating (101) | Trainer (G.M.Lyons)
Valiant Force (USA) — Rating (107) | Trainer (101)
Aftermath — Rating (100) | Trainer (A.P.O'Brien)
Beckman — Rating (100) | Trainer (G.M.Lyons)
It's A Heartbeat — Rating (100) | Trainer (John S. O'Donoghue)
Kerdos — Rating (100) | Trainer (Stephen Thorne)
London City (USA) — Rating (100) | Trainer (A.P.O'Brien)
Mississippi River — Rating (100) | Trainer (A.P.O'Brien)
Powerful Nation — Rating (100) | Trainer (Andrew Slattery)
Rock Of Cashel — Rating (100) | Trainer (A.P.O'Brien)
Siege Of Troy (GB) — Rating (100) | Trainer (J.P. Murtagh)
Super Sox (GB) — Rating (100) | Trainer (P. Twomey)
