Irish Trainers Stats National Hunt (Jumps) (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Brian M. McMahon (Runs: 81 | 1st: 4 | 2nd: 9 | 3rd: 5 | 4th: 4 | Win Money: 28200 | Place Money: 39205 | Total Prize Money: 67405)
Ray Hackett (Runs: 58 | 1st: 4 | 2nd: 5 | 3rd: 5 | 4th: 3 | Win Money: 27900 | Place Money: 33420 | Total Prize Money: 61320)
Michael J. McDonagh (Runs: 46 | 1st: 4 | 2nd: 6 | 3rd: 3 | 4th: 4 | Win Money: 33900 | Place Money: 25880 | Total Prize Money: 59780)
C.W.J. Farrell (Runs: 17 | 1st: 4 | 2nd: 5 | 3rd: 1 | 4th: 1 | Win Money: 41400 | Place Money: 17835 | Total Prize Money: 59235)
Exors of the Late E.J. O'Grady (Runs: 26 | 1st: 4 | 2nd: 6 | 3rd: 2 | 4th: 2 | Win Money: 36000 | Place Money: 21580 | Total Prize Money: 57580)
Thomas Cooper (Runs: 42 | 1st: 4 | 2nd: 4 | 3rd: 3 | 4th: 2 | Win Money: 41400 | Place Money: 15965 | Total Prize Money: 57365)
Andrew McNamara (Runs: 63 | 1st: 4 | 2nd: 4 | 3rd: 4 | 4th: 6 | Win Money: 29400 | Place Money: 22605 | Total Prize Money: 52005)
Ms Margaret Mullins (Runs: 40 | 1st: 4 | 2nd: 3 | 3rd: 2 | 4th: 5 | Win Money: 24900 | Place Money: 21970 | Total Prize Money: 46870)
Gerard Keane (Runs: 47 | 1st: 4 | 2nd: 4 | 3rd: 3 | 4th: 4 | Win Money: 27600 | Place Money: 18305 | Total Prize Money: 45905)
William Harvey (Runs: 34 | 1st: 4 | 2nd: 3 | 3rd: 4 | 4th: 4 | Win Money: 26100 | Place Money: 18440 | Total Prize Money: 44540)
Eugene M. O'Sullivan (Runs: 74 | 1st: 4 | 2nd: 3 | 3rd: 1 | 4th: 5 | Win Money: 26400 | Place Money: 15690 | Total Prize Money: 42090)
Edward F. Power (Runs: 27 | 1st: 4 | 2nd: 2 | 3rd: 1 | 4th: 4 | Win Money: 30600 | Place Money: 10600 | Total Prize Money: 41200)
Martin Paul Fitzgerald (Runs: 13 | 1st: 4 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 26700 | Place Money: 3520 | Total Prize Money: 30220)
Eddie & Patrick Harty (Runs: 30 | 1st: 3 | 2nd: 8 | 3rd: 3 | 4th: 1 | Win Money: 20400 | Place Money: 52465 | Total Prize Money: 72865)
